film,no,song,singer,lyricist,composer,duration
Pakeezah,1,Theme,Lata Mangeshkar,-,Naushad,4:15
Pakeezah,Mora Saajan,Pahadi,,Naushad,2:29,
Pakeezah,Inhin Logon Ne,Yaman Kalyan,Majrooh Sultanpuri,Ghulam Mohammad,3:41,
Pakeezah,Kaun Gali Gayo,Mishra Khamaj,Kaifi Azmi,Naushad,2:41,
Pakeezah,Najariya Ki Maari,Khamaj,Traditional,Naushad,2:18,
Pakeezah,Thade Rahiyo,Mand,"Kamal Amrohi , Majrooh Sultanpuri",Ghulam Mohammad,5:53,
Pakeezah,Chalte Chalte,Bhup Kalyan,Kaifi Azmi,Ghulam Mohammad,5:53,
Pakeezah,Mausam Hai Aahiqana,Yaman,Kamal Amrohi,Ghulam Mohammad,4:53,
Pakeezah,Chalo Dildaar Chalo,Pahadi,Kaif Bhopali,Ghulam Mohammad,3:37,
Pakeezah,Teer E Nazar,Khamaj,Kaif Bhopali,Ghulam Mohammad,3:59,
Pakeezah,12,Leke Angrai,"Meena Kumari , Suman Kalyanpur",Kaif Bhopali,Ghulam Mohammed,5:09
Pakeezah,Tanhai Sunaya Karti Hai,Mand,Kamal Amrohi,Ghulam Mohammed,3:36,
Pakeezah,Yeh Kiski Aankhon Ka,Yaman,Majrooh Sultanpuri,Ghulam Mohammed,5:21,
Pakeezah,Bandhan Bandho,Bhoopali,,Ghulam Mohammed,4:19,
60 Vayadu Maaniram,1,"""Iraivinai Thedi""",Ilaiyaraaja,Pa. Vijay,,
60 Vayadu Maaniram,2,"""Thedi Thedi""","Benny Dayal , Vibhavari",Palani Bharathi,,
60 Vayadu Maaniram,3,"""Naalum Naalum I""",Monali Thakur,Vivek,,
60 Vayadu Maaniram,4,"""Naalum Naalum II""","Benny Dayal, Monali Thakur",,,
A Aa E Ee,1,"""A Aa E Ee""","Rahul Nambiar , Dinesh",Priyan,,
A Aa E Ee,2,"""Dingi Tappu""","Megha , Sheeba, Vinaya, Maya, Ramya NSK , Vijay Antony",Eknaath,,
A Aa E Ee,3,"""Kanni Vedi""","Vijay Antony, Sangeetha Rajeshwaran",,,
A Aa E Ee,4,"""Mena Minuki""","Vijay Antony, Suchitra , Surmukhi Raman , Sangeetha Rajeshwaran",Vijay Antony,,
A Aa E Ee,5,"""Natta Nada""","Sangeetha Rajeshwaran, Karthik , Christopher",Annamalai,,
A Aa E Ee,6,"""Tappo Tappo""","Bakshi, Sulabha",Eknaath,,
ABCD,,""" Anandin Arimugam """,D. Imman,Pa. Vijay,,
ABCD,,""" Bharathiyin Arimugam """,,,,
ABCD,,""" Chandravin Arimugam """,,,,
ABCD,,""" Divyavin Arimugam """,,,,
ABCD,,""" Dhavam Ondru ""","Nithyasree Mahadevan , Balram",Thamarai,,
ABCD,,""" Kadhal Illai """,Imman,Saravana Subbiah,,
ABCD,,""" Manjal Mugame """,Saindhavi,,,
ABCD,,""" Yengo Yengo ""","Mahathi , Haricharan",,,
ABCD,,""" Yaar Potta Kolam """,Karthik,Na. Muthukumar,,
Aacharya,,"""Androru Thai""",Sriram Parthasarathy,,,3:29
Aacharya,,"""Nijamai Nijamai""",Manikka Vinayagam,,,3:34
Aacharya,,"""Idhu Enna""",Bharadwaj,,,5:23
Aacharya,,"""Kathavai Thirandhu""",Karthik,,,2:36
Aacharya,,"""Kannai Katti""",Senthildoss,,,2:19
Aacharya,,"""Oru Thuli Eru Thuli""",S. P. Balasubrahmanyam,,,5:05
Aacharya,,"""Uyirin Uirey""",Senthildoss,,,2:51
Aacharya,,"""Yar Yaro""","Sathyan , Azhagu Murugan",,,1:57
Aadai,,Chitti Dance Showcase,,,A. R. Rahman,
Aadai,,Chikku Bukku,,,"Colonial Cousins - Hariharan, Lesle Lewis, Pravin Mani",
Aadai,,Aasai Oru Pulveli,,,Santhosh Narayanan,
Aadai,,Pizza,,,,
Aadai,,Uyir Mozhi,,,,
Aadai,,Boomiyil,,,,
Aadai,,Agasatha,,,,
Aadai,,Jigarthanda,,,,
Aadai,,Vaayai Moodi Pesavum,,,,
Aadai,,Mundaasupatti,,,,
Aadai,,Madras,,,,
Aadai,,Sathuranga Vettai,,,,
Aadai,,Aadama Jaichomada,,,,
Aadai,,Enakkul Oruvan,,,,
Aadai,,Elangaathathu Veesuthu Kaathu,,,,
Aadai,,Poda Poda,,,,
Aadai,,Manithan,,,,
Aadai,,Kabali,,,,
Aadai,,Hindi,,,,
Aadai,,Telugu,,,,
Aadai,,Maaveeran Kittu,,,,
Aadai,,Nee Kavithaigala,,,,
